comment,sentiment
楼主能私信我改装费用和整车费用吗？,0
我要申诉本楼已被管理员删除,1
要是有四驱就好了再搞个300多匹马力来个真正的AMG,0
这个价格估计没人看领航了,0
那个灯带，往右旋转一下就开了，是示宽灯。,0
估计是电瓶没电了,0
没有怎么严重吧，我的车暂时没有出现你说的这些问题,0
请问高顶是直接从4S买的时候加价么？还是后期可以自己改？高顶比正常的多要多少钱？,0
还未发现。,0
已关注，多少公里了？,0
你先关注我吧好像是就可以了吧我也不怎么会哈哈年纪大了,0
ROWEN套件可以选配,0
关注我了吗,0
前几天开了朋友的埃尔法怎么感觉底盘超级松散，晃动还很大，隔音也不行。除了二排座椅整体真心不如。gl8,1
新车出厂的时候都做过底盘护甲了，新提的车没必要急着做的，长期城区道路更加没必要了，如果是长期化工园区行驶或者海边道路行驶，建议提车半年后做一次,0
有塞纳预算的一般会看看阿尔法同价位看看贵士肯定没有看gl8的不是一个档次的,1
我们计划已久的港珠澳之行即将启程咯~~又是晴空万里的一天，带上相机，背上行囊，怀着无比期待的心情，踩着欢快的步伐，我们整装待发啦~同样地早上8:30在罗湖口岸过关，过关十分顺利，大概五分钟就通关啦。罗湖地铁站出来，根据指示牌指引通过此道上此电梯。小伙伴们切记要带上港澳通行证和八达通哦~据悉港澳通行证4月1日全国通办，5月底全部停止续签本式往来港澳通行证。卡式通行证的便捷不用多说吧，再也不用为了签证折腾跑老家那么麻烦，还持有本式通行证的伙伴们赶紧更换吧。言归正传，准备乘坐香港地铁去湾仔咯~~我们乘坐东铁线，罗湖到九龙塘。地铁开出40分钟（9站后）在九龙塘站下车；换乘开往油麻地的观塘线（绿色），2站后在太子站下车；换乘开往金钟的荃湾线（红色），6站后在湾仔地铁站下车，从c或a1出口走300米左右的路程即可到达1号车场。来到湾仔1号车场，传说中亚洲最壕的二手车市场，这个二手车展位于香港的湾仔，会议展览中心金紫荆广场附近，乘坐电梯到达车行地下铺，映入眼帘的不是款式新颖的豪车、就是形态特别的老爷车.....不可否认：不管男生女生看到豪车的心情都是兴奋的。小编说的对不对1号车场的开放时间是10：30，我们来到车行时间还未到11点，可能来的有点早，车行的工作人员还没有各就各位，一大排摆放整齐的豪车像待检阅的士兵蓄势待发，场面也让人热血沸腾，来！上一波照片大家随便感受下有一种被一群埃尔法兄弟群盯上了的赶脚，有木有？再来看看黑白色的埃尔法，自行对比下。158w的兰博基尼奔驰的老爷车，扑面而来的年代感1号车场对比上次的九龙湾展贸中心，1号车场的豪车种类颇多，更适合想去香港购二手豪车的朋友我们逛了一圈1号车场，约了几家合作的车行，整个洽谈过程很顺利。专业的事情交给专业的人去做就是放心。因为时间的关系，我们需要提前结束二手车行的走访，眼看着也快到中午，我们动身出发去香港时代广场，在附近偶然发现一家老字号--金记冰室（1967年），店内装潢也是蛮复古的。同行六个伙伴，5个人不约而同地点了同样的咖喱猪扒饭（这默契...小编有点愕然），只有1个人点了鸡腿饭，（小编吃的是咖喱猪扒饭，现在有点后悔没有尝尝鸡腿饭，看着比我的好吃哈哈），咖喱非常香浓，主要是套餐分量特别的足，小编没有把它吃完，感觉好浪费粮食。吃饱喝足就到了买买买的环节啦~也是女生最喜欢的一PART~小编最近被袁咏仪洗脑（靓靓语录：想买就买，不然回家又会一直想，那太痛苦了，买一双鞋又不是买一个房子，买一双鞋几百万吗？需要想那么久。）哈哈哈~当然还是要理智消费哈~时代广场坐落於港岛区繁盛的心脏地带——铜锣湾区。整体建筑由两幢分别四十六层及三十九层高的办公室大楼，无论身处何方均一眼可见。进门看见一只小飞象在飞，亲切感十足，非常的可爱时代广场门口还有小飞侠的专场3D投放展示，背景都是香港一些标志性的建筑物，小飞象一下在时代广场，一下又从天而降去到了维多利亚港等其他地方，一群孩子追着小飞象左蹦右跳好不欢乐。在那里取景拍照也是超好看的（旅行就是各种吃，买，拍照）嘻嘻嘻~原谅小编的拍照技术有限~小飞侠专场展示，还有3D效果的影视播出很赞哦~各位小姐姐可以去看看~--------------------------------------------------分割线--------------------------------------------走访了二手车行，吃了老字号港式茶餐厅，也逛了街买了东西下午时分，行程也到了最高潮部分啦！准备去港珠澳大桥啦这条用了9年时间建成的宏伟工程，世界最长的跨海大桥——港珠澳大桥于2018年10月24日已正式通车！马上就要领略大桥的傲人风采啦，心情不由自主的激动起来，今日小编奉上港珠澳大桥香港口岸至珠海口岸通关攻略！敬请查收！！！如何从港珠澳大桥香港口岸至珠海口岸香港市区到港珠澳大桥香港口岸交通方式：日间乘坐：A11/A21/A22/A29可直达香港回珠海的口岸，没有的可换乘深宵乘坐：NA11/NA12/NA20/NA29巴士也不是只有口岸一个站点的，听到到达“港珠澳大桥香港口岸站”方可下车乘坐香港巴士后即可到达香港口岸，香港口岸实施24小时运作，无间断为出入境旅客及车辆提供通关服务。到达香港口岸后，根据指示牌进入旅检大楼从这里进入旅检大楼，刷港澳通行证及录指纹即可前往售票厅。进入售票厅后，前往柜台购买香港至珠海的穿梭巴士的纸质票一票在手，天下我有。这个时候只需持此票即可进入港珠澳大桥穿梭巴士候车区了。在此前去港珠澳大桥的人还是蛮多的，大家都遵守秩序的排好队伍准备上车看到那台黄色巴士没有，那就是通往珠海的穿梭巴士哦，内部环境干净舒适，放心乘坐哦。成功上车，座位靠前甚是满意very开心。接下来让我们一起来领略这座耗资千亿——港珠澳大桥的无限风采吧。沿途观看雄伟壮观的港珠澳大桥。给了我们意外的收获，这里的建筑太雄伟了，特别大气，流线型设计，美丽精致。历时半个小时左右~到达港珠澳大桥珠海公路口岸啦，还沉醉于港珠澳大桥的美色中，没有晃过神来就准备下车了，对此景恋恋不舍。进入大厅后，依然是刷港澳通行证就可以出来啦~~从大厅出来之后，你可以根据指示牌选择乘坐公交车或者出租车，珠海是一个宜住且具幸福感的城市，旅游景点也是颇多的，接下来就可以畅通无阻地游玩珠海，感受下珠海的风土人情啦。不说了，小编迫不及待要去happy了~,0
