comment,sentiment
办理了ETC高速浪一下，一出门就遇到阿尔法，100万哪，老款的我坐过也开过，确实好车，但是没感觉值那么多，中国豪人太多。走磨合测试定速巡航父亲没空就带着家里的各位老板们兜风途中也感受下老板位舒服不，辛苦大老板了，舒适版有个好处，可以不用下车就可以在车内完成换司机的任务，这个对于下雨天啥的，非常实用。三老板，其实是最大的老板，哭起来，我都要投降二老板趁着假装老板的机会好好感受下车内，第2排左侧位置放个纸巾不错中间没有扶手的好处可以放相机包还有垃圾桶，这个建议大家都要备一个，乱丢垃圾的事我们可不干。2排空调面板设计的还不错扶手也挺好的，多有电镀处理，而且是亚光的，更显质感。一路奔袭，这条路上基本无车，风景又美，舒服惬意。终于抵达目的地，永泰的葱饼店，这个可是福州第一名的葱饼，高峰期的时候要排队一个小时，今天时候尚早还没开始排，赶紧趁热走一个途进服务区，拍个造型这个角度有没很帅最后大鹏展翅来一个来回50多公里吧，平均油耗6.7.80公里时速，这个成绩这样的车重应该算是优秀的。目前使用了200多公里，感受良好，全家一直满意，现在有点后悔没有一步到位上个顶配。算了，走改装之路吧！比较遗憾的是目前还没找到电动后视镜，还有自动刹车也无法加装，其他的配置倒不是很在意。,1
秋介绍~,0
因为手上的两地牌关系，一直都喜欢买跑车开，觉得用了两地牌在国内开，而且完善的赛道设施，可以在赛道上飚车确实在香港是无法想象的。因为年纪渐长，有了家庭，为了能够方便孩子家里出入方便，决定换一台7人保姆车来开，近期埃尔法在国内流行人气指数又超高，于是决定入手这辆适合家庭出行的保姆车，开来看去原厂样式配置的埃尔法就是有点老气的感觉，所以一直在看日本改装大厂对这台车的改装有哪些自己比较喜欢的，结果一看到Wald对这台车的改装后立即就吸引到我了，拿起电话打给中国总代，问问关于这台车的改装方案。,1
?里有卖？怎么联系？,0
灵山清净，拈花一笑。没想到这次的试驾地竟是如此禅意：太湖畔，灵山旁。闲庭信步于古朴木石的小镇，目之所及是随风摇曳的花草，暖阳斜撒，鸟语风铃，戏台钟鼓，流水观佛，竟有种穿梭至古时之唐朝，今日之京都感。细细打听，原来这里早被世界佛教论坛选定为永久会址，紧邻的灵山大佛及其周边如梵宫等地，更是集近现代佛教文化之大成，乃无数善男信女心中之圣地。拈花湾，一个纷扰世下少有的净地，如梦亦如幻，如露亦如电，应作如是观。在这个悠然恬静的胜地，追求速度／张扬个性的汽车是决然不搭的，而讲究气度和内涵的别克GL8&amp;Avenir，怕是与之最和神韵的座驾。大象无形全新一代GL8&amp;Avenir，首先在前脸上采用了全新家族式飞翼隔栅造型，加上重新设计的大灯，视觉看上去非常有精神，与上一代浑圆饱满的造型相比辨识度很高，新旧车型一目了然。得益于车身加长以及车顶金属饰条装饰，全新gl8从侧面看更修长具有质感。尾部更多向实用性倾斜，大开口的后备箱设计，非常便于旅行或搬运大件物品。内部是全新gl8的重点，一切兼顾实用与品质感：中控大面积的按键可有效避免误操作，8英寸大屏+钢琴烤漆的搭配虽然常见，但很适合gl8的稳健风格，不矫揉造作。作为国内MVP届的模版，全新GL8在本已足够舒适的老款上进行了不小的飞跃：车内座椅填充物采用了全新的材质，在腰背等需要支撑处硬，在臀腿头等需要舒适处软，在第二排的尊享座位，头枕采用人体工学u型设计，不仅可从三个方向包裹支撑，并可进行4向调节，完美承托头部。而在更高端的Avenir版上，座椅皮革全部采用了棱形纹格的真皮，触感更佳，且配上麂皮包裹的车顶，气度直逼豪华品牌MPV产品。大音希声全新一代GL8的动态表现值得一说。因为经常坐上一代GL8，对2.4L和3.0L自然吸气发动机搭配6档手自一体所带来的稳重感印象深刻。全新GL8&amp;Avenir，在底盘调教，座椅进化等因素的综合作用下，舒适度有明显提升，不必要的路面颠簸被过滤的更好。让我有一丝不解的是，在弯道上，全新gl8的第二排感受比老款侧倾更大，刚开始我怀疑是参加过各种赛道飙车活动的同行刘老师在弯道开得略猛，但在个人反复体验过后，我认为主要是悬挂改变所致，从扭力梁变为多连杆，虽然提升了舒适性和过弯的性能，但加长的车身和原本的高重心，让车辆后部在弯道上更加敏感，为了中后排的舒适度，建议司机们过弯时幅度不要太大，速度不要过快。最后说下油耗，老款GL8最被人诟病的就是油耗与动力难以兼得，实际使用中，2.4L的车型发肉，而3.0L的v6发动机动力足够油耗偏高。全新一代GL8&amp;Avenir用2.0t搭配新一代6档手自一体的组合解决了这个问题，起步与自然吸气的老款有着明显的质变，只需轻柔的油门即可爬坡加速，变速箱调教很顺，丝毫没有涡轮增压的突兀，平顺度一流。我试驾的是车乘坐4人且以山路为主行驶一天，仪表显示实际油耗仅10个出头，让人满意。亦商亦家外观上出挑，舒适度进化，油耗与动力兼得，全新一代GL8续写商务使用上的传奇几无悬念，在二胎流行，刚需显露的家用mpv市场，全新一代GL8也比老款更具吸引力。犹记得在上市发布会上，全新一代GL8的首位车主是***夫妇，Avenir版的首位车主是张艺谋，尽管他们在独自出行时并不会选择GL8，但正如王潮歌那句，“GL8来了，家就来了”，陪伴着中国高速发展和成长的GL8，不仅是无数人奋斗历程上的重要伙伴，更是家人团聚，结伴出行，商务接待的不二神器，或许其他MVP可以说“宜商宜家“，但这里，我想用“亦商亦家”，因为“GL8”就是商，就是家。有了Avenir，驶向未来的三驾马车也就齐了！本以为只是垂直换代的全新一代GL8，用Avenir告诉我们别克未来的广阔空间。相比28t旗舰型，Avenir版GL8在硬件上拥有专属中网格栅，真皮座椅，麂皮包裹，18种车顶氛围灯，专属伯爵紫，居家级地毯等进阶配置，并拥有专属的私人定制服务。别克宣称，每一辆Avenir背后，都有一支专业队伍提供私人车辆管家服务，每位车主还将享受6年或12万公里私人养车无忧计划。讲道理，以上内容值5万还是非常划算。已经做到与大众平起平坐的别克想要品牌再向上已经很难，此番推出限定版，或是途径之一。凭借Avenir，全新GL8一举突破了40万的价格天花板。市场是检验决策正确与否的试金石。本被一致认为不走量的Avenir，自11月上市至今年内订单已经排满。这块有些问路意味的投石第一发就有了深邃的回响，据悉，Avenir将有望在昂科雷，昂科威以及君越上推出。另一个主打运动和激情的子品牌GS，除了现有的威朗GS和君威GS之外，也将伴随下一代君威问世迎来高光时刻。主打时尚运动激情的GS，专注尊贵定制奢适的avenir，还有面向普通大众的Buick，前两个为主品牌输送强大的生命力，主品牌又为前二者提供可靠的支撑，未来的别克品牌阵列让人期待，这样的品牌架构让我似乎看到了某德系著名豪华品牌的影子。再加上欧宝，泛亚，通用解决核心产品问题，2016已经稳破110万的别克，才刚刚开始发力。,1
"买这个车不为别的，就是因为家里需要，家里二胎，加上老人，SUV已经无法满足家里需求！选车的时候还是选了很久，一开始是考虑艾力绅，但是对日本车感觉还是不放心！最终选择了别克GL8这个车，别克GL8最为顶级的MPV典范，座椅宽大，空间大，外形内饰豪华，舒适，动力充沛，口碑，被称完美MPV！由于家里才刚装修完，经济有点不允许，所以选择了新款舒适版28.99万最低配置。然后就定车，国六没有现车，只能等，等啊等等啊等，就入了改装坑了！！！论坛上各种改装，眼花缭乱，车没到不急，继续潜水！！！经过几天的了解，确定了改装方案，但还是超出了预算，最后咬咬牙，拿了自己多年藏起来的私房钱出来凑了。。。还不能让老婆知道多方面了解，改装后不影响验车，所有提新车了就直接开过去改装！！见证改装的全部过程，拍照记录。以下作业全部都是个人辛苦6.7小时，排片，码字，望版主能点石成金！！！！射个精华国六国六国六前场节奏。。。。。施工现场果然专业就是不一样，一天全部玩活，以前家里的轿车去包个真皮都得整整一天，现在怎么大的商务车大改一天就完事了，牛批我的新车。。。。。。给你升级很认真的看施工单，准备大干一场师傅表情很到位！门内加隔音原车低皮，想个光头这天气，补质真的座不了，热热热1..品牌右电门品牌左电门品牌电尾门2..原厂高配顶棚控制面板3..原厂AV内饰板7件套4..原厂高配液晶中控面板4..原厂64色氛围灯5..原厂折叠后视镜6..原厂前雷达7..无钥匙进入+前电吸门8..加大加宽扶手箱9..海拉五氙气灯10..柚木地板+全车隔音11..品牌夜视王360全景+屏幕解码器12..七彩九宫格13..品牌安卓系统吸顶电视14..LED迎宾踏板+轨道条15..前排主副电动座椅中排座椅+电动腿拖-电动靠背全车座椅包真皮原厂AV内饰板7件套原车黄纹面板实在是不喜欢，看了很多改了AV内饰面板非常好看，对比了之后，果断就改了。阳光下，发出粉色品牌夜视王360全景+屏幕解码器还是那句话，家中婆娘偶然会开，这车车身太多了，安装个全景是非常有必要的，既能当全景看也能当全景记录仪！！！经济实用！前方高能，有人有人后面也有人，嘿嘿录制效果，随时调视频出来看三个电动门买这个车就是为了家里人，中门跟尾门实在太重了，考虑了家中老人跟小孩，选择了改三个电动门智能防夹，电吸门，都非常好，用得也放心。开关控制也挺多的，顶棚控制，B柱控制，门把控制，钥匙控制，挺实用的。贴个标，告诉家人，它是电动门尾门的开关对比一下原车没电动杆子跟有电动的杆子！原车面板，看着好单调换上高配的漂亮，没毛病。控制三电门不是梦。。。原厂64色氛围灯打算加个的白色氛围灯，店家说换64色的好，可以随便调色，最后经不过64色的诱惑，选择了改64色的氛围灯。单调的冰蓝色氛围灯配上九宫格加大加宽扶手箱原厂扶手箱挺漂亮的，就是储物的东西太少了，还特别低，价格也挺贵，最好选了加大又加宽扶手箱，挺实用，价格便宜，值了！海拉五透镜氙气灯原车卤素灯，特别暗，散光，加上自己本身就有点近视，大灯改是得改。听了店家的推荐，改了海拉五氙气灯，以后也不会影响到验车，效果特别棒，秒杀LED灯,看晚上效果！！！秒杀远光够！原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。原车卤素大灯。马上就把你换了，气人卤素，你看看别人家的海拉灯。。。。羞愧吗???你往下看看他的效果拍照前我是拒绝的，太伤眼睛了。早知道带个墨镜瞎了瞎了！无光近光远光木地板脚踏，木地板就得配上木地脚踏，天生是一对的舒服七彩九宫格低配是没有双天窗的，中排索性就改个九宫格，第三排没有照亮灯，暗暗的，小孩害怕。开上九宫格也就都亮起来了！！听亮白色灯光亮度五颜六色。。。。。眼睛都慌了LED迎宾踏板+轨道条就当做是装饰用了，挺漂亮的！LED灯，挺美柚木地板+全车隔音纯天然柚木地板必改，易清洗，防水耐脏，没有异味做工也挺细致，看上来也特别大气上档次！！！非常满意拆出来后，看都得都是光秃秃的铁皮，隔音也就贴上了，降低噪音！前排木地脚垫无一点缝隙，完美无一点缝隙，完美无一点缝隙，完美原厂前雷达家中婆娘偶然会开，地方位置预判不准确，前后雷达都得给她备上，省的磕着碰着了，安全实用第一！！！前后显示效果。。原厂无色差6个前探头无钥匙进入+前电吸门有了无钥匙进入方便了很多，在也不用每次开车停车都套钥匙出来了，轻轻一按即可解决。。无钥匙都改了那电吸门也是必备的，就算门关不上，自己还能电吸起来，跟宝马奔驰一样，挺牛的！！无钥匙+高配门把亮，漂亮电吸门效果。。。实用电吸门效果。。。实用电吸门效果。。。实用电吸门效果。。。实用品牌安卓系统吸顶电视可以给小孩子看电视，不然每次坐车吵吵闹闹的，烦！！！！！！！可以手机投屏也可以网络看电影电视。高配原厂液晶中控面板。。对比。。高配的就是牛逼老婆说漂亮，得改。。。我这腰包受不了阿确实漂亮原厂折叠后视镜有过之前的一次教训，停好车忘记把耳朵折起来，隔天被撞掉了，所以电动折叠得改，锁车就自动折叠起来，方便实用！！看下效果收耳朵。。嘿嘿前排主副电动座椅+座椅电加热中排座椅+电动腿拖-电动靠背全车座椅包真皮原车座椅没有电动，没有加热，没有真皮，没有腿拖。。这些做主要的座椅居然缺点怎么多，全车座椅也得改！！！看图片效果！电动按钮方便。实用全车座椅真皮，打菱形，边线也要美美的认证神器以上作业全部都是个人辛苦6.7小时，排片，码字，望版主能点石成金！！！！射个精华",0
家里有一台越野车，一台轿车，越野车是我自己用的—美规奔驰gl350，虽然是七座车，但第三排的不方便性太多了，要进第三排必须放倒第二排，空间小，人要猫着，不能长时间乘坐，老婆是辆保时捷帕拉梅拉，座椅又硬，腰部又没有支撑，第二排居然是两座，一家人出行全靠越野车，虽然gl的舒适型还行，但乘坐感太差了，在和LP的半年的沟通后终于将再购一台7座车的安排敲定了，后面就是我的工作，选车。LP有要求，40以上，必须是大牌，看来女人的虚荣心要比男人高。1、别克gl8A什么什么（英语不好，记不住）44.99万。去SSSS看车，说没有现车都要预订，于是我们试驾了28t旗舰版，感觉头部空间有点压抑，车的空间感觉小。放弃。2、大众迈特威2.0tsi四驱优享版51.95万。四驱，方盒子，我喜欢呀，情怀。可是LP一上去直接走人，看来女人就是喜欢看颜值。放弃。3、丰田阿尔法，100+。颜值确实高呀，航空座椅舒服呀，静音性好呀，悬挂软呀，看见就走不动道了，但等车，加价20，连个后备箱都没有，我们的钱也不是大风刮来的，果断放弃。3、奔驰V260L进口改装有风险，国产有售后LP一眼看见就看上了，航空座椅，车内空间大，科技感强??，试驾后发现加长版的车感觉后面要晕一些，而且标准版有什么摩卡金，很漂亮，跟销售沟通了2个星期，现今优惠也到位，加装了座椅的通道，实木地板，送了全车镀金，全车窗帘，和LP一商量果断拿下。先上图，在谈驾驶感受。漂亮吧，家用这个颜色合适，黑色太商务了。耳朵可爱。居然还带表，这个可以有。这的漂亮，大家都满意。驾驶位科技感满格。就是看起来不习惯，要矮一些。窗帘舒服，手感好，私密性强这个上档次。大爱的座椅，通风，加热，按摩，我的移动床，一家人出去，就是老爸老妈专座。自己某宝上买的，自己装。两个大天窗，通透性好，不压抑，晚上车上看星星。自己温度，自己掌握。三个独立座椅，老大，老二加个阿姨一人一座，都舒服。轮毂漂亮，今天下雨，有点脏。实心奔驰大标，就是档次，里面有雷达哟。大灯真是漂亮。细节。还是奔驰有档次，大气。实木地板自己装的上钥匙，实证。现在谈谈驾驶感受：优点：2.0T的发动机够用，超车没压力，方向盘很奔驰，单手无压力。空间大，满座后备箱还能放全家人的东西，够用。两个大天窗，通透性好，不压抑，航空座椅出行舒适，睡觉妥妥的，第三排表现也很好，头部脚部都很舒服。标准版的第三排要比加长版的晃动要小，晕车感要小些。底盘扎实，E级的悬挂，很多人说悬挂很散，我不觉得，硬中有软，过弯稳得住，我比较喜欢，比gl好，gl的悬挂太软了，晕，快了过弯像要翻车一样。缺点：对驾驶员不友好，天窗都在后面，座椅对于我来说有点短，更是全车有三个点烟器，第二、三排、后备箱都有，居然驾驶位没有，扶手箱的USB接口不支持快充，而且接了线关不上扶手箱的门，KAO，手机充电居然要从第二排接，对驾驶员太不友好了。新车味道有点大，必须晒，现在不敢关窗。隔音差，时速40、50都能听到胎噪，准备去做一个全车隔音。其他的以后再说，现在的感受就是这些，谢谢大家。,1
【五月天】山水生态贵安新区车田烧农家乐。贵安新区位于贵阳和安顺之间，一条城市快速路贵安大道把两个城市连接起来，对推进贵安新区发展起到举足轻重的作用。当然发展的理念就是山水贵安，大数据贵安，收到良好效果。美丽车田村就位于贵安大道旁，距离贵阳市区30公里，很适合郊游。六车大大小小20人，烧烤骑单车，大人小孩好嗨哦，感觉人生到达了高潮，好嗨哦，感觉人生到达了巅峰。路况很好。阳光明媚。车流量很大的。,0
目录察北军马场简介别克GL8驾乘体验察北军马场简介别克GL8驾乘体验察北管理区位于河北省西北部，内蒙古高原南端，地处张北、康宝、沽源三县交界处，属张家口北部坝上地区。其前身是与共和国同龄的国营察北牧场，是历史上著名的“中央三号军马场”。“原中央三号军马场”位于察北管理区白塔管理处，地处东经114°至115°，北纬40.32°至41°之间，与美国的肯塔基，日本的北海道处于同一纬度，是国际公认的育马气候带。在历史上，该地区就是有名的马匹繁育基地，几百年来该地区为元，明，清繁育了大批的军事，交通和农业用马，素有“地势沃衍，厥号名扬”之称。“原中央三号军马场”所在地距离北京260公里，距冬奥会举办地崇礼仅22公里，毗邻张北草原天路东线15公里。这里是坝上地区重要的交通枢纽，张石高速与207国道纵贯全区。同时这里是坝上草原文化旅游圈腹地及晋冀蒙三大经济圈复合地。察北牧场，原址即现在的察北管理区白塔管理处，是苏联援建我国的两个样板牧场之一。据《察北区志》记载，察北牧场于1950年开始引进苏联优良马种“苏高血”进行军马马种培育，改良，培育出驰名中外的“张北马”。1957年1月中国人民解放军总后勤部黄城子军马场也被并入察北牧场。据老牧场人讲，当年斯大林送给毛***的战马就养在这里。在察北管理区白塔管理处的“原中央三号军马场”旧址，至今仍完好的保存着前苏联援建的双列式马厩9座和堪称夯土艺术的49座圆顶马粮仓。这次四个人自驾别克GL8来了一场说走就走的旅行有点肆无忌惮，有点措手不及，但还是说走就走了之前对别克GL8没有做过太多的了解，毕竟是商务车，不适合家用，所以很少关注，去的路上，我坐在了第二排副驾驶后的位置上，整个视线效果还是不错的，以前都是自己开车，很少坐车，一般坐后面位置上的话也容易晕车，但是这次没有，一方面和心情有关系，另一方面跟车也有关系。毕竟车的空间比较大，独立座椅没有拥挤感，舒适度还是蛮高的。这张照片发了朋友圈之后，车牌号码被围观了，8888这辆车是2017年最后一批老款低配车型，坐上去之后感觉整个内饰太简单明了了。去过张北的人应该都知道，张家口到张北属于爬坡路况，车的动力跟不上的话，跑起来会非常吃力，但是这款车动力方面的表现是很不错的，无论是提速，还是超车，都可以给一个想当高的分值。除了动力之外，空间方面也还是不错的，四个人带了很多拍摄设备，还有备用衣服，后备箱里还有水和零食，七座车被四个人占的满满的，确实挺能装。毕竟是老款车型，在外观方面就不做过多点评了，其实不是我喜欢的类型，哈哈。,0
超级原创科普贴！飞蝗芜湖！红领巾课堂开讲啦！哈哈，别问我是谁，请叫我红领巾！今天准备给大家讲解一节大课——自动泊车！发现有很多朋友都在问怎么使用自动泊车功能，先提前说明一下，只有V260的尊贵和V260L才会有自动泊车功能。之所以说这是一节大课，不仅是因为要讲的内容量大，还因为需要使用的人要心细技术好胆子大！毕竟是一种当今相对智能的功能，操作起来比较繁琐，对于老司机来说，靠谁不如靠自己，对于新手来说，学会这功能还不如学会自己熟练泊车，如果你真想体验一下当今相对先进的技术的话，那就请准备好马扎仔细听我讲，首先不建议新手单独使用此功能，想体验的话还是要老司机来操作。据说自动泊车可以检测到与行驶方向垂直和平行的车位，但是垂直方向的车位至今没有操作成功过，只成功试过自动侧方位停车。开启自动泊车功能的必备条件，第一已系好安全带，第二车速在35km/h以内，第三开启转向灯，第四有足够的泊车空间。下面开始操作，先缓慢沿停车区向前行驶，当仪表显示屏最下方的P左右出现箭头的时候就说明检测到可用车位方向，然后刹车挂R档仪表屏显示是否开启驻车辅助系统，选择按键在方向盘上按OK键，既然要体验肯定要按OK啊，如果这时候你怕了后悔了就按返回键放弃吧，哈哈哈仪表屏显示驻车辅助系统启用加速并制动注意周围环境，这告诉我们一点，油门和刹车还是需要司机来把握，并不是我们想的全自动大撒把，我要提醒大家，右脚要时刻放在刹车板上，根据自己的判断，时刻准备刹车！自动泊车过程中不要动方向盘，否则自动泊车就会取消，当然如果不想使用自动泊车了，随时动一下方向盘就取消了时刻观察好周围环境和仪表屏，如果自动泊车顺利，需要向前或者向后变换行进方向的话，仪表屏会提醒你选择D或者R档，这告诉我们一点，自动泊车不仅需要人观察周围环境时刻准备刹车，还需要手动换挡在经过几次的前后挪动之后，自动泊车终于就结束了，结束了，束了，了...虽然叫自动泊车，但是还是离不开司机的仔细观察以及正确操作，但不管怎么说，也算是一种进步，至少让我们看到了未来无人值守自动泊车的希望啊，完成！你学会了吗？敢不敢去试一把？哈哈，别问我是谁，请叫我红领巾！,1
