comment,sentiment
柴油的还是汽油的？,0
加尾翼怕上路被查,0
没有怎么严重吧，我的车暂时没有出现你说的这些问题,0
出原车第二排座椅！,0
什么价格入手的？有优惠吗,0
车况板正，有事故的勿扰，真看出来都没面子,0
我喜欢白色的，脏一点不显眼，不用老洗车,1
这前脸太漂亮了,0
50算少的了，g63先行加90,0
哦～好的??谢谢,0
朋友请问能发一下改装清单和价格吗？然后还想问一下改这个航空座椅日常使用方便吗？然后需要改底下的滑道吗？座椅需要改皮吧，鞋子的质量如何？谢谢lottehu@126.com,0
今天提了3699豪华，等后面有时间发认证作业，另外寻北京GL8车友会大家庭,0
两款车型配置不一样,0
看这个不买，那干脆不要买MPV，mpv届里，有可能它算是碰撞得分算高的了,0
之前预算是30万以内，首选艾力绅和GL8的，不过试驾过两台车之后，从品牌和发动机考虑，最后选他。这车买得过。奔驰这车卖得很高调，地毯雷达收音机玻璃贴膜甚至首保养都没有得送，还要加价提车。不过对比过其他，还是选它的。发动机优秀，1250转就涡轮介入了，动力充足。其次就是空间，座位够厚实，相当舒服。连收音机和倒车雷达都没有，不过自己后期加装也不贵。前脸好看这么大的车就不要谈操控了想操控就买轿车17寸轮子电动调节后视镜后面像面包车。不过比上一代好看！350牛米在1250转就能体验，2.25顿的车重这发动机完全能胜任。车灯是卤素灯内饰真的一般般方向盘塑料加木质电动助力中控屏幕不错内后视镜手动防炫目主副驾驶皆有安全气囊座椅是仿皮的空间够大座椅靠背调节5.37米长这完全坐11个人都可以后排座椅可比例放倒现在平均油耗13，这么大台的车可以了。车内很舒适，适合一家人外出游玩各种细节拍几张贴膜的照片，网上买的车膜，施工的地方还是挺专业的师傅贴膜这个就不多说了，车友都知道。非常不错贴贴贴保护好师傅很认真清晰度很好啊布帘贴好看效果,1
我这款2把钥匙都不好用，请问各位车友，是什么原因啊，锁上车，就要等好久才能开开，开开门了，上车了，打不着火，我这是一键启动的，行车屏幕就会显示未发现遥控钥匙,0
一套下来多少钱？急,0
尊贵版车已经订了，就差指标腾出来把车提回来，但是第二排确实非常鸡肋，进出非常麻烦。不知道北京有没有能无损改第二排座椅中间留一个过道的，顺便有好店家能做木地板的也推荐推荐，坐标北京。,1
至少买尊享版，预算够就上豪华版。,0
想加入潍坊青州gl8大组织，有没有给提供个微信群，感谢老铁,0
Mansory兴办人KouroshMansory先生是一位德国人，是一位极度热爱英国豪华车的德国人，关于英国豪华车的热爱，使他的内心对汽车品味有了原始盼望和恳求，这应该是他决议投身汽车改装产业的原动力之一。Mansory创立之前，KouroshMansory决议前往英国学习进修，学习英国的汽车文化，并用多年时间了解汽车产业的学问与认知。可以说，在英国求学的那个阶段，曾经成为KouroshMansory创立Mansory品牌的最佳养份。其实，关于很多人来说，Mansory迈莎锐商务中国是一个难以捉摸的改装品牌，品牌Logo的红底面白十字徽章，总是让人联想到“瑞士”品牌，而KouroshMansory先生钟情于英国豪华车型的改装，又让人情不自禁想到“英国”品牌。但将时间拉回到27年前——KouroshMansory回到德国之后，于1989年在德国慕尼黑创立了Mansory品牌，开端对劳斯莱斯、宾利、阿斯顿马丁等英国豪华品牌的车型中止里里外外的改装。所以，Mansory是一个不折不扣的德国品牌。至于何时呈现布加迪、法拉利、兰博基尼等意大利名跑的改装业务？大约是Mansory成立的十年后，Mansory总部由慕尼黑迁往巴伐利亚，当改装作风遭到越来越多豪华车主认可，Mansory的业务越来越大，Mansory于2007年并购了Rinspeed公司（瑞士的知名改装品牌，以改装保时捷而知名），一同将其改装业务拓展至德系豪华车、超跑的队伍中。除了靠着英国豪华品牌的改装发家致富之外，Mansory还针对Porsche、BMW、M-Benz与RangeRover，还有一丢丢被德国人收购的意大利名跑中止“艺术”创作，而Mansory美学造诣里，是别离最顶级的科技水平和大师级的工匠技艺，内外饰都选取最珍贵的原材料，更是不留余力地运用碳纤制品中止各类搭配，全车碳纤的作品比比皆是，从此，“卖炭翁”美名被传开了。或许你会以为——天衣无缝的空气动力学设计、强大的引擎动力提升系统是Mansory的中心价值。但一切讲求消费工艺与设计美感的挑剔年代，如何能够走出自我鲜明作风的作品似乎曾经愈来愈难，而当你真正走进Mansory中鉴赏，所能获得的不是普通改装注重的性能、操控与视觉效果提升的感受，而是更多的奢华与高尚气质铺面而来。,0
这个主动刹车有用处么？订了36:9的来车了才对比没有辅助刹车，求大神指点,0
脚垫有，日行灯没给,0
自己的沙发自己座,0
最近新买辆v260操作后发现原车自带wifi手机连接后发现不能上网想咨询下有哪位车友了解。它是需要车辆插卡实现上网功能还是怎么操作。求解,1
大家的胎压打多少的？表显，ES。我前面300，后面270，想省油大家可以讨论一下。,0
需要加95油，保养需要加全合成机油，比较娇贵。如果不介意可以买增压的,0
奔驰威霆改装红色内饰房车，这私人订制简直没谁了全新奔驰威霆车身尺寸为5370*1928*2080mm，轴距长达3430mm，宽大的空间造就强大的改装潜力。奔驰威霆改装中国红内饰房车，传递喜庆、热闹、祥和的空间氛围，采用全隔断设计区别前后舱，加装了独立扬声器、旋转式航空座椅、电动沙发座椅、游艇级柚木地板、全景天窗、可变色的迈巴赫顶灯等奢华商务接待及家用车设备，这私人订制简直没谁了！奔驰威霆改装商务房车，驾驶舱座椅、扶手箱、门板、挡风板采用红色纳帕真皮包覆，展示高级奢华质感。主副驾驶以及门板进行软包的同时做了隔音处理，减少胎噪、风噪进入车内。扶手箱的车载冰箱升级成超大25升，拥有恒温加热或制冷恒温功能。除此之外搭载14寸显示屏和桃木多功能方向盘，西安合正的私人订制服务简直没谁了！来到奔驰威霆商务房车的核心区——后舱，采用全隔断与驾驶舱隔离，独立的空间布局方便大家各干其事和保留隐私，B柱处设有电话，方便前后舱联络。中国红被广泛用于车壁下面及座椅，奢华、尊贵的风采让众多商务精英为之倾倒。迈巴赫顶灯和周边灯饰条营造多种车内氛围，商务办公和家庭娱乐都可满足。为了提高奔驰威霆的空间利用率，多功能隔断自然是高能满满，上面为影音系统，让乘坐人员随时随地享用视听盛宴；下面是一个隐藏了两个独立座椅的吧台，展开之后的座椅与总裁席面向，交流方便又提高车辆的承载力。吧台实木点缀的点缀恰到好处，清晰自然的纹理充满古典韵味，与中国红组成古典中国风。严密的商务窗帘可以保护车内隐私。奔驰威霆商务车改装房车，第二排配有进口航空座椅，厉害之处在于其拥有常规的摩通、风加热、电动前后调节、电动腿托功能，还在于智能一体化中央扶手的设计，一键调节全车影音系统、空调系统、灯光系统。调节升降可拆卸的桌面，便于日常商务办公置放文件、电脑或休闲娱乐时饮料食物的置放。奔驰威霆改装中国红内饰房车，奢华的内饰还有韬光养晦之义，这私人订制简直没谁了！动力搭载是奔驰最新一代的2.0T涡轮增压汽油发动机，其最大输出功率为156kW，与之匹配的是7G-TRONICPLUS七速手自一体变数系统，动力输出随心所欲，配合灵敏顺畅的自动挡，各种路况轻松搞定。,0
2010年陆尊3.0CT一直家用改了全车真皮及高配的多功能真皮方向盘，目前97000公里。,0
